sample1,sample2,varname1,varname2,stat,weight,exp
moral,immoral,harm_mean,harm_mean,mean,2,5
moral,immoral,fairness_mean,fairness_mean,mean,2,5
moral,immoral,ingroup_mean,ingroup_mean,mean,2,5
moral,immoral,authority_mean,authority_mean,mean,2,5
moral,immoral,purity_mean,purity_mean,mean,2,5
